Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
"Milk, human",6.89,1.03,4.38
"Milk, NFS",4.87,3.34,1.99
"Milk, whole",4.67,3.28,3.2
"Milk, low sodium, whole",4.46,3.1,3.46
"Milk, calcium fortified, whole",4.67,3.28,3.2
"Milk, calcium fortified, low fat (1%)",5.19,3.38,0.95
"Milk, calcium fortified, fat free (skim)",4.85,3.4,0.18
"Milk, reduced fat (2%)",4.91,3.35,1.9
"Milk, acidophilus, low fat (1%)",5.19,3.38,0.95
"Milk, acidophilus, reduced fat (2%)",4.91,3.35,1.9
"Milk, low fat (1%)",5.19,3.38,0.95
"Milk, fat free (skim)",4.89,3.43,0.08
"Milk, lactose free, low fat (1%)",5.19,3.38,0.95
"Milk, lactose free, fat free (skim)",4.89,3.43,0.08
"Milk, lactose free, reduced fat (2%)",4.91,3.35,1.9
"Milk, lactose free, whole",4.67,3.28,3.2
"Buttermilk, fat free (skim)",4.79,3.31,1.07
"Buttermilk, low fat (1%)",4.79,3.31,1.07
"Buttermilk, reduced fat (2%)",5.3,4.1,2.0
"Buttermilk, whole",4.88,3.21,3.31
"Kefir, NS as to fat content",7.48,3.59,0.96
"Goat's milk, whole",4.45,3.56,4.14
"Milk, dry, reconstituted, NS as to fat content",4.6,3.2,0.07
"Milk, dry, reconstituted, whole",5.86,4.01,4.08
"Milk, dry, reconstituted, low fat (1%)",4.55,3.17,1.01
"Milk, dry, reconstituted, fat free (skim)",4.6,3.2,0.07
"Milk, evaporated, NS as to fat content",10.04,6.81,7.56
"Milk, evaporated, whole",10.04,6.81,7.56
"Milk, evaporated, reduced fat (2%)",11.15,7.42,1.96
"Milk, evaporated, fat free (skim)",11.35,7.55,0.2
"Milk, condensed, sweetened",54.4,7.91,8.7
"Non-dairy milk, NFS",3.75,1.04,1.17
Soy milk,4.92,2.6,1.47
"Soy milk, light",3.51,2.38,0.77
"Soy milk, nonfat",4.14,2.47,0.04
"Soy milk, chocolate",9.95,2.26,1.53
"Soy milk, light, chocolate",8.24,2.1,0.64
"Soy milk, nonfat, chocolate",8.24,2.1,0.64
"Almond milk, sweetened",5.24,0.38,0.93
"Almond milk, sweetened, chocolate",8.34,0.43,0.95
"Almond milk, unsweetened",1.31,0.4,0.96
"Almond milk, unsweetened, chocolate",1.48,0.46,1.0
Rice milk,9.17,0.28,0.97
Coconut milk,2.92,0.21,2.08
"Yogurt, NFS",7.04,5.25,1.55
"Yogurt, Greek, NS as to type of milk or flavor",3.94,9.95,1.92
"Yogurt, NS as to type of milk or flavor",7.04,5.25,1.55
"Yogurt, NS as to type of milk, plain",7.04,5.25,1.55
"Yogurt, whole milk, plain",4.66,3.47,3.25
"Yogurt, low fat milk, plain",7.04,5.25,1.55
"Yogurt, nonfat milk, plain",7.68,5.73,0.18
"Yogurt, Greek, NS as to type of milk, plain",3.94,9.95,1.92
"Yogurt, Greek, whole milk, plain",3.98,9.0,5.0
"Yogurt, Greek, low fat milk, plain",3.94,9.95,1.92
"Yogurt, Greek, nonfat milk, plain",3.64,10.3,0.37
"Yogurt, NS as to type of milk, fruit",14.46,4.66,1.37
"Yogurt, whole milk, fruit",12.36,3.1,2.87
"Yogurt, low fat milk, fruit",14.46,4.66,1.37
"Yogurt, nonfat milk, fruit",15.02,5.09,0.17
"Yogurt, Greek, NS as to type of milk, fruit",12.29,8.17,2.57
"Yogurt, Greek, whole milk, fruit",12.29,7.33,3.0
"Yogurt, Greek, low fat milk, fruit",12.29,8.17,2.57
"Yogurt, Greek, nonfat milk, fruit",12.2,8.06,0.15
"Yogurt, NS as to type of milk, flavors other than fruit",9.82,5.09,1.51
"Yogurt, whole milk, flavors other than fruit",9.41,3.3,3.1
"Yogurt, low fat milk, flavors other than fruit",9.82,5.09,1.51
"Yogurt, nonfat milk, flavors other than fruit",10.44,5.56,0.18
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",9.54,8.64,2.5
"Yogurt, Greek, whole milk, flavors other than fruit",9.35,8.47,4.44
"Yogurt, Greek, low fat milk, flavors other than fruit",9.54,8.64,2.5
"Yogurt, Greek, nonfat milk, flavors other than fruit",10.37,8.64,0.18
"Yogurt, Greek, with oats",22.38,8.9,4.29
"Yogurt, liquid",11.81,3.71,1.09
"Chipotle dip, yogurt based",3.33,7.93,15.99
"Dill dip, yogurt based",3.76,8.16,16.03
"Onion dip, yogurt based",4.07,6.82,12.88
"Ranch dip, yogurt based",4.13,8.48,16.09
"Spinach dip, yogurt based",3.6,7.02,12.94
Tzatziki dip,3.95,5.35,6.31
"Vegetable dip, yogurt based",3.76,8.16,16.03
"Yogurt parfait, low fat, with fruit",15.86,3.36,1.01
"Frozen yogurt, NFS",21.6,3.0,3.6
"Frozen yogurt, vanilla",21.6,3.0,3.6
"Frozen yogurt, chocolate",21.6,3.0,3.6
"Frozen yogurt, soft serve, vanilla",24.2,4.0,5.6
"Frozen yogurt, soft serve, chocolate",24.87,4.31,5.76
Frozen yogurt sandwich,34.38,3.9,6.25
"Frozen yogurt bar, vanilla",21.6,3.0,3.6
"Frozen yogurt bar, chocolate",21.6,3.0,3.6
"Frozen yogurt cone, chocolate",23.9,3.2,3.73
"Frozen yogurt cone, vanilla",23.9,3.2,3.73
"Frozen yogurt cone, vanilla, waffle cone",25.28,3.29,3.61
"Frozen yogurt cone, chocolate, waffle cone",25.28,3.29,3.61
"Yogurt, whole milk, baby food",4.66,3.47,3.25
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",13.22,3.4,3.53
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",13.0,3.05,3.08
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",13.22,3.4,3.53
"Chocolate milk, NFS",13.46,3.39,0.0
"Chocolate milk, ready to drink, whole",10.34,3.17,3.39
"Chocolate milk, ready to drink, reduced fat",12.13,2.99,1.9
"Chocolate milk, ready to drink, fat free",13.46,3.39,0.0
"Chocolate milk, ready to drink, low fat",10.15,3.46,1.11
"Chocolate milk, ready to drink, reduced sugar, NS as to milk",7.68,3.43,1.04
"Chocolate milk, ready to drink, low fat (Nesquik)",10.15,3.46,1.11
"Chocolate milk, ready to drink, fat free (Nesquik)",13.46,3.39,0.0
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",10.15,3.46,1.11
"Hot chocolate / Cocoa, ready to drink",16.54,2.72,1.54
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",16.52,2.79,0.06
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",16.68,1.21,0.98
"Hot chocolate / Cocoa, ready to drink, with whipped cream",15.89,2.73,3.18
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",15.87,2.79,1.77
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",16.02,1.29,2.64
"Chocolate milk, made from dry mix, NS as to type of milk",10.13,3.41,2.01
"Chocolate milk, made from dry mix with whole milk",9.94,3.36,3.14
"Chocolate milk, made from dry mix with reduced fat milk",10.16,3.42,1.92
"Chocolate milk, made from dry mix with low fat milk",10.43,3.45,1.03
"Chocolate milk, made from dry mix with fat free milk",10.14,3.5,0.22
"Chocolate milk, made from dry mix with non-dairy milk",10.32,1.68,1.27
"Chocolate milk, made from reduced sugar mix, NS as to type of milk",7.61,3.59,2.1
"Chocolate milk, made from reduced sugar mix with whole milk",7.42,3.53,3.26
"Chocolate milk, made from reduced sugar mix with reduced fat milk",7.64,3.6,2.01
"Chocolate milk, made from reduced sugar mix with low fat milk",7.91,3.63,1.1
